booking_id,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation
1,17712,12,,2,1021,1323,,,1/1/2013 22:33,,0,0,1/1/2013 8:01,13.02853,77.54625,12.869805,77.653211,0
2,17037,12,,2,455,1330,,,1/1/2013 12:43,,0,0,1/1/2013 9:59,12.999874,77.67812,12.953434,77.70651,0
3,761,12,,2,814,393,,,1/2/2013 0:28,1/3/2013 0:00,1,0,1/1/2013 12:14,12.908993,77.6889,13.19956,77.70688,0
4,868,12,,2,297,212,,,1/1/2013 13:12,,0,0,1/1/2013 12:42,12.99789,77.61488,12.99474,77.60797,0
5,21716,28,,2,1237,330,,,1/1/2013 16:33,,0,0,1/1/2013 15:07,12.92645,77.61206,12.858833,77.589127,0
6,38966,12,,2,61,393,,,1/1/2013 18:00,,0,0,1/1/2013 15:11,12.96298,77.71229,13.19956,77.70688,0
7,22196,12,,2,409,1194,,,1/1/2013 16:19,,0,0,1/1/2013 15:40,13.07746,77.60668,13.00446,77.56923,0
8,22200,12,,2,1371,839,,,1/2/2013 10:33,,1,0,1/1/2013 17:21,13.000418,77.674835,12.85773,77.78642,0
9,22201,12,1,3,1323,,,,1/1/2013 19:55,1/1/2013 0:00,1,0,1/1/2013 17:25,12.869805,77.653211,,,0
10,22202,12,,2,1017,496,,,1/2/2013 5:02,,0,0,1/1/2013 17:30,13.11084,77.60074,13.05845,77.64075,0
11,22203,12,,2,1373,1390,,,1/1/2013 18:28,,0,0,1/1/2013 17:54,13.037255,77.58166,12.969368,77.641302,0
12,819,12,,2,1323,585,,,1/2/2013 16:04,,1,0,1/1/2013 18:38,12.869805,77.653211,12.97677,77.5727,0
13,15846,12,2,3,142,,,,1/2/2013 3:07,,0,0,1/1/2013 19:37,12.91281,77.60923,,,0
14,3316,24,,2,58,393,,,1/2/2013 17:31,,0,0,1/1/2013 20:39,12.88963,77.60119,13.19956,77.70688,0
15,22243,12,,2,479,393,,,1/3/2013 5:45,,0,0,1/2/2013 15:12,13.02298,77.60922,13.19956,77.70688,0
16,22245,12,,2,1084,112,,,1/2/2013 23:02,,0,0,1/2/2013 15:45,12.892657,77.581866,12.93331,77.56666,0
17,22252,12,,2,393,1237,,,1/2/2013 21:21,,0,0,1/2/2013 18:04,13.19956,77.70688,12.92645,77.61206,0
18,16903,12,,2,293,292,,,1/2/2013 19:26,,0,0,1/2/2013 18:14,12.849482,77.663187,12.93944,77.62923,0
19,22325,85,,2,1384,1298,,,1/7/2013 6:28,,0,0,1/4/2013 14:54,13.02853,77.54625,12.879678,77.646355,0
20,22327,12,,2,1095,1371,,,1/5/2013 12:14,,0,0,1/4/2013 15:19,12.92415,77.67229,13.000418,77.674835,0
21,22335,85,,2,293,393,,,1/5/2013 6:43,,0,0,1/4/2013 17:06,12.849482,77.663187,13.19956,77.70688,0
22,756,12,,2,83,849,,,1/4/2013 19:26,,0,0,1/4/2013 17:28,12.92415,77.67229,12.95434,77.60072,0
23,2017,12,,2,571,136,,,1/4/2013 22:04,,0,0,1/4/2013 18:07,12.95185,77.69642,12.90796,77.62418,0
24,22338,12,,2,852,1078,,,1/4/2013 18:57,,0,0,1/4/2013 18:07,12.98758,77.60512,12.992123,77.581667,0
25,20690,12,,2,271,455,,,1/4/2013 22:19,,0,0,1/4/2013 18:20,12.95641,77.64076,12.999874,77.67812,0
26,15485,12,,2,1217,410,,,1/5/2013 16:33,,1,0,1/4/2013 18:26,13.04937,77.51179,13.05121,77.54113,0
27,22343,28,,2,768,393,,,1/5/2013 5:31,,0,0,1/4/2013 19:04,12.98999,77.55332,13.19956,77.70688,0
28,22347,12,,2,1044,393,,,1/5/2013 3:36,,1,0,1/4/2013 20:08,12.968887,77.644329,13.19956,77.70688,0
29,22352,28,2,3,115,,,,1/6/2013 1:26,1/6/2013 0:00,1,0,1/4/2013 21:02,12.99319,77.54472,,,0
30,22360,12,,2,393,1033,,,1/7/2013 8:09,,1,0,1/4/2013 22:46,13.19956,77.70688,12.906358,77.599547,0
31,19163,12,,2,293,1166,,,1/5/2013 12:28,,1,0,1/4/2013 23:36,12.849482,77.663187,12.997198,77.669514,0
32,22367,12,,2,1384,839,,,1/6/2013 6:43,,0,0,1/5/2013 9:02,13.02853,77.54625,12.85773,77.78642,0
33,20430,12,1,3,89,,,,1/5/2013 10:48,,0,0,1/5/2013 9:28,12.96519,77.71932,,,0
34,22369,12,1,3,1170,,,,1/5/2013 12:00,1/5/2013 0:00,1,0,1/5/2013 10:28,12.98793,77.52612,,,0
35,22377,12,,2,974,393,,,1/6/2013 4:33,,1,0,1/5/2013 11:48,13.07557,77.55904,13.19956,77.70688,0
36,15272,28,,2,585,767,,,1/6/2013 11:16,,1,0,1/5/2013 13:27,12.97677,77.5727,12.9122,77.51043,0
37,1055,12,,2,352,168,,,1/6/2013 5:02,,0,0,1/5/2013 13:47,13.03369,77.62821,12.99313,77.59828,0
38,22381,12,,2,1056,625,,,1/5/2013 15:21,,0,0,1/5/2013 13:54,12.919199,77.60931,12.95431,77.6553,0
39,16934,12,2,3,293,,,,1/5/2013 15:36,,0,0,1/5/2013 14:38,12.849482,77.663187,,,0
40,18898,12,,2,363,393,,,1/7/2013 4:48,,0,0,1/5/2013 15:10,12.99287,77.71662,13.19956,77.70688,0
41,18898,85,,2,393,363,,,1/25/2013 22:33,,0,0,1/5/2013 15:14,13.19956,77.70688,12.99287,77.71662,0
42,18310,12,,2,814,570,,,1/5/2013 16:19,1/6/2013 0:00,1,0,1/5/2013 15:15,12.908993,77.6889,12.94832,77.5882,0
43,22346,12,,2,784,393,,,1/6/2013 4:19,,0,0,1/5/2013 15:33,12.96634,77.60709,13.19956,77.70688,0
44,20916,12,,2,849,601,,,1/5/2013 23:02,,0,0,1/5/2013 16:31,12.95434,77.60072,13.02434,77.56593,0
45,22388,12,,2,393,515,,,1/5/2013 23:31,,1,0,1/5/2013 16:49,13.19956,77.70688,12.97896,77.67345,0
46,22389,85,,2,571,667,,,1/5/2013 18:00,,0,0,1/5/2013 16:59,12.95185,77.69642,12.97165,77.51316,0
47,16425,12,,2,1383,567,,,1/6/2013 8:24,,0,0,1/5/2013 18:16,12.930451,77.685822,12.95764,77.6043,0
48,18275,12,,2,142,567,,,1/6/2013 8:09,,1,0,1/5/2013 19:19,12.91281,77.60923,12.95764,77.6043,0
49,22357,12,,2,218,271,,,1/6/2013 10:33,,0,0,1/5/2013 19:24,12.96799,77.58882,12.95641,77.64076,0
50,22397,12,,2,393,1371,,,1/6/2013 10:04,,0,0,1/5/2013 20:02,13.19956,77.70688,13.000418,77.674835,0
